Employee_ID,Employee_Name,Department,Tasks_Completed,Task_Completion_Time,Hours_Worked,Productivity_Score,Date,Performance_Rating
E1284,James Anderson,HR,38,4.87,46,76.8,12-10-2023,Good
E1285,James Anderson,HR,13,1.54,50,88.97,13-10-2023,Good
E1286,Sarah Lee,IT,43,4.89,50,85.63,14-10-2023,Good
E1287,Jane Smith,HR,23,4.12,30,71.77,15-10-2023,Average
E1288,John Doe,IT,25,1.97,38,65.28,16-10-2023,Average
E1289,Olivia Thomas,Sales,31,0.79,40,82.91,17-10-2023,Good
E1290,David Wilson,Marketing,11,2.51,30,63.46,18-10-2023,Average
E1291,Michael Johnson,HR,38,3.13,43,99.84,19-10-2023,Excellent
E1292,Jane Smith,Marketing,48,4.2,39,88.62,20-10-2023,Good
E1293,Michael Johnson,HR,47,3.31,45,74.51,21-10-2023,Average
E1294,Emily Davis,Marketing,50,2.7,46,67.99,22-10-2023,Average
E1295,James Anderson,Marketing,17,3.68,47,90.12,23-10-2023,Excellent
E1296,Jane Smith,Sales,15,4.18,43,76,24-10-2023,Good
E1297,James Anderson,Marketing,38,3.33,43,73.66,25-10-2023,Average
E1298,Emily Davis,HR,18,2.48,46,77.83,26-10-2023,Good
E1299,Emily Davis,Marketing,35,3.43,32,78.23,27-10-2023,Good
E1300,Michael Johnson,Sales,49,2.49,47,63.29,28-10-2023,Average
E1301,John Doe,Sales,37,4.8,50,61.86,29-10-2023,Average
E1302,David Wilson,Sales,32,1.86,39,89.27,30-10-2023,Good
E1303,David Wilson,Marketing,25,0.92,49,83.66,31-10-2023,Good
E1304,James Anderson,Sales,14,0.86,33,66,01-11-2023,Average
E1305,Michael Johnson,Finance,50,1.08,46,94.48,02-11-2023,Excellent
E1306,Robert Brown,Marketing,38,2.72,32,98.77,03-11-2023,Excellent
E1307,Sarah Lee,Sales,48,1.93,45,65.42,04-11-2023,Average
E1308,Michael Johnson,HR,21,0.98,46,86.15,05-11-2023,Good
E1309,John Doe,HR,35,4.45,36,77.63,06-11-2023,Good
E1310,David Wilson,HR,21,4.25,45,67.43,07-11-2023,Average
E1311,Emily Davis,Finance,35,3.24,33,83.13,08-11-2023,Good
E1312,Olivia Thomas,Sales,44,4.19,43,95.2,09-11-2023,Excellent
E1313,Sarah Lee,Finance,27,3.17,38,73.86,10-11-2023,Average
E1314,James Anderson,Finance,35,4.14,47,96.95,11-11-2023,Excellent
E1315,Sophia Martinez,Sales,12,1.28,38,79.45,12-11-2023,Good
E1316,James Anderson,Sales,50,4.3,30,69.93,13-11-2023,Average
E1317,Emily Davis,Marketing,40,4.18,39,88.04,14-11-2023,Good
E1318,Jane Smith,Marketing,36,1.44,30,87.54,15-11-2023,Good
E1319,Sophia Martinez,HR,22,4.04,47,97.5,16-11-2023,Excellent
E1320,Sophia Martinez,Marketing,34,4.58,33,77.97,17-11-2023,Good
E1321,Michael Johnson,Finance,39,4.38,45,69.68,18-11-2023,Average
E1322,Jane Smith,Finance,40,4.29,31,78.89,19-11-2023,Good
E1323,Sophia Martinez,IT,25,2.21,30,61.37,20-11-2023,Average
E1324,Michael Johnson,HR,11,4.09,44,86.89,21-11-2023,Good
E1325,Jane Smith,Finance,48,4.42,30,91.42,22-11-2023,Excellent
E1326,Sophia Martinez,HR,19,3.65,48,66.11,23-11-2023,Average
E1327,Robert Brown,HR,18,1.05,42,82.32,24-11-2023,Good
E1328,Emily Davis,Sales,40,4.61,49,73.28,25-11-2023,Average
E1329,Michael Johnson,Finance,16,0.93,32,79.6,26-11-2023,Good
E1330,Jane Smith,Sales,18,2.36,50,81.62,27-11-2023,Good
E1331,Michael Johnson,IT,13,1.48,31,85.61,28-11-2023,Good
E1332,Olivia Thomas,IT,46,1.18,30,67.48,29-11-2023,Average
E1333,Olivia Thomas,Marketing,39,2.93,45,92.78,30-11-2023,Excellent
E1334,Olivia Thomas,Finance,46,4.77,34,80,01-12-2023,Good
E1335,James Anderson,HR,47,2.82,48,69.37,02-12-2023,Average
E1336,Robert Brown,Marketing,22,2.27,43,69.46,03-12-2023,Average
E1337,Sarah Lee,Finance,21,1.92,48,64.2,04-12-2023,Average
E1338,John Doe,HR,41,2.16,39,79.08,05-12-2023,Good
E1339,Emily Davis,Sales,34,4.15,41,89.7,06-12-2023,Good
E1340,Jane Smith,Finance,30,3.96,33,64.85,07-12-2023,Average
E1341,David Wilson,Finance,44,1.09,32,68.06,08-12-2023,Average
E1342,Robert Brown,HR,35,3.24,41,97.07,09-12-2023,Excellent
E1343,Jane Smith,Sales,16,2.81,42,62.66,10-12-2023,Average
E1344,Robert Brown,IT,12,4.63,50,98.57,11-12-2023,Excellent
E1345,Jane Smith,HR,20,3.78,36,74.35,12-12-2023,Average
E1346,John Doe,Finance,46,2.8,37,62.03,13-12-2023,Average
E1347,Jane Smith,Marketing,43,1.61,48,94.92,14-12-2023,Excellent
E1348,Jane Smith,Finance,50,1.29,32,73.94,15-12-2023,Average
E1349,Robert Brown,Marketing,15,4.06,42,81.9,16-12-2023,Good
E1350,James Anderson,IT,32,4.64,46,67.44,17-12-2023,Average
E1351,Olivia Thomas,Finance,44,3.27,42,96.46,18-12-2023,Excellent
E1352,Olivia Thomas,Sales,29,4.61,48,83.85,19-12-2023,Good
E1353,Jane Smith,HR,32,3.66,35,65.18,20-12-2023,Average
E1354,Robert Brown,Sales,12,4.45,39,75.59,21-12-2023,Good
E1355,Jane Smith,HR,46,3.7,44,73.5,22-12-2023,Average
E1356,David Wilson,Marketing,25,4.29,42,74.74,23-12-2023,Average
E1357,David Wilson,Finance,11,1.25,48,71.06,24-12-2023,Average
E1358,Robert Brown,Marketing,13,3.94,37,70.48,25-12-2023,Average
E1359,Jane Smith,HR,18,2.1,38,64.05,26-12-2023,Average
E1360,James Anderson,Finance,26,2.76,44,65.52,27-12-2023,Average
E1361,Olivia Thomas,Marketing,41,0.78,46,79.49,28-12-2023,Good
E1362,Emily Davis,IT,13,3.01,46,67.08,29-12-2023,Average
E1363,David Wilson,HR,23,3.91,38,63.19,30-12-2023,Average
E1364,Robert Brown,Marketing,34,1.36,42,84.89,31-12-2023,Good
E1365,David Wilson,HR,24,1.3,32,66.77,01-01-2024,Average
E1366,Jane Smith,HR,36,1.45,33,73.23,02-01-2024,Average
E1367,James Anderson,HR,32,0.51,38,92.91,03-01-2024,Excellent
E1368,Sarah Lee,HR,26,4.19,39,72.54,04-01-2024,Average
E1369,Sophia Martinez,Marketing,25,0.66,38,71.7,05-01-2024,Average
